k,g,dr,count,fraction_pct,delta_uniform_pp,hl_predicted,deviation_vs_hl_pct,H_g,xmax
12,216,2,19552,16.664535869833884,-0.002130796832783277,19583.56326227006,-0.16117221287747752,2.6406472633874785,10000000
12,216,4,19505,16.62447688937755,-0.04218977728911444,19583.56326227006,-0.4011693950580605,2.6406472633874785,10000000
12,216,5,19511,16.62959080177623,-0.03707586489043457,19583.56326227006,-0.3705314569073478,2.6406472633874785,10000000
12,216,7,19505,16.62447688937755,-0.04218977728911444,19583.56326227006,-0.4011693950580605,2.6406472633874785,10000000
12,216,8,19693,16.78471281120288,0.11804614453621298,19583.56326227006,0.5588193336642715,2.6406472633874785,10000000
13,234,1,21462,16.782527779298263,0.11586111263159893,21363.8871952037,0.4592460346744675,2.8807061055136125,10000000
13,234,2,21362,16.704331302831495,0.037664636164827514,21363.8871952037,-0.008833575961421335,2.8807061055136125,10000000
13,234,4,21218,16.591728376719345,-0.0749382899473211,21363.8871952037,-0.6828682152771013,2.8807061055136125,10000000
13,234,5,21316,16.66836092365678,0.0016942569901146065,21363.8871952037,-0.2241501968539302,2.8807061055136125,10000000
13,234,7,21274,16.635518403540736,-0.031148263125929665,21363.8871952037,-0.4207436333210035,2.8807061055136125,10000000
13,234,8,21251,16.61753321395338,-0.049133452713287507,21363.8871952037,-0.528401943767258,2.8807061055136125,10000000
15,270,1,26158,16.717261124922512,0.05059445825584541,26111.41768302675,0.17839826829291716,3.520863017849971,10000000
15,270,2,26158,16.717261124922512,0.05059445825584541,26111.41768302675,0.17839826829291716,3.520863017849971,10000000
15,270,4,26117,16.691058521278432,0.024391854611766073,26111.41768302675,0.02137883527051446,3.520863017849971,10000000
15,270,5,25908,16.557489151483004,-0.10917751518366159,26111.41768302675,-0.7790372989168554,3.520863017849971,10000000
15,270,7,26099,16.679554939190787,0.012888272524122502,26111.41768302675,-0.047556525568589164,3.520863017849971,10000000
15,270,8,26033,16.637375138202756,-0.029291528463909478,26111.41768302675,-0.3003195153119691,3.520863017849971,10000000
17,306,1,20913,16.677033492822964,0.010366826156299469,20889.134146421395,0.1142500852898868,2.816690414279977,10000000
17,306,2,20941,16.699362041467307,0.032695374800639776,20889.134146421395,0.248291064699255,2.816690414279977,10000000
17,306,4,20905,16.670653907496014,0.003987240829347871,20889.134146421395,0.07595266260149588,2.816690414279977,10000000
17,306,5,20953,16.708931419457734,0.04226475279106856,20889.134146421395,0.30573719873184135,2.816690414279977,10000000
17,306,7,20959,16.71371610845295,0.04704944178628434,20889.134146421395,0.33446026574813453,2.816690414279977,10000000
17,306,8,20729,16.53030303030303,-0.13636363636363447,20889.134146421395,-0.7665906365431041,2.816690414279977,10000000
20,360,1,26011,16.65108954497734,-0.01557712168932801,26111.41768302675,-0.38457384522642907,3.520863017849971,10000000
20,360,2,26055,16.6792563951553,0.012589728488635044,26111.41768302675,-0.2160651853975091,3.520863017849971,10000000
20,360,4,26072,16.69013904181497,0.02347237514830347,26111.41768302675,-0.1509595668272446,3.520863017849971,10000000
20,360,5,25974,16.627403784600414,-0.039262882066251614,26111.41768302675,-0.5262743091734754,3.520863017849971,10000000
20,360,7,26049,16.675415461040124,0.008748794373458768,26111.41768302675,-0.23904363901054368,3.520863017849971,10000000
20,360,8,26051,16.67669577241185,0.010029105745185118,26111.41768302675,-0.2313841544728655,3.520863017849971,10000000
