k,g,X,count,R_emp_naive,R_emp_li2,R_HL,ratio_emp_to_HL,log_X
5,90,1000000,21909,4.181734285288964,3.5084670518848,3.520863017849971,0.9964792819537919,13.815510557964274
5,90,2000000,39261,4.132242812779214,3.503701384390387,3.520863017849971,0.9951257310004454,14.508657738524219
5,90,4000000,71136,4.109791217837702,3.5172177853474205,3.520863017849971,0.9989646764205053,15.201804919084164
5,90,8000000,129267,4.082405400918532,3.5227684024217694,3.520863017849971,1.0005411697535913,15.89495209964411
5,90,16000000,235617,4.052097543425458,3.5225698660520655,3.520863017849971,1.0004847812009274,16.588099280204055
5,90,32000000,430988,4.022215432927632,3.5199648937417836,3.520863017849971,0.9997449136465593,17.281246460764002
5,90,50000000,637928,4.009574551795185,3.5227984816863582,3.520863017849971,1.0005497129046415,17.72753356339242
7,126,1000000,19725,3.76487784825071,3.158725300033214,3.1687767160649742,0.9968279822365514,13.815510557964274
7,126,2000000,35488,3.7351323944858454,3.166994083931791,3.1687767160649742,0.999437438389349,14.508657738524219
7,126,4000000,64046,3.7001755558034395,3.1666628750613035,3.1687767160649742,0.9993329157611661,15.201804919084164
7,126,8000000,116196,3.6696076954298444,3.166559116308106,3.1687767160649742,0.9993001716575278,15.89495209964411
7,126,16000000,211918,3.644526529102893,3.1682601886706885,3.1687767160649742,0.999836994701562,16.588099280204055
7,126,32000000,388063,3.621615886168978,3.1693878636066843,3.1687767160649742,1.000192865448238,17.281246460764002
7,126,50000000,573646,3.605542323489643,3.167817148370118,3.1687767160649742,0.999697180400881,17.72753356339242
10,180,1000000,21986,4.19643114685121,3.520797690571875,3.520863017849971,0.9999814456632465,13.815510557964274
10,180,2000000,39483,4.155608440359688,3.5235129456683647,3.520863017849971,1.0007526358750565,14.508657738524219
10,180,4000000,71128,4.109329028092107,3.516822236788564,3.520863017849971,0.99885233221488,15.201804919084164
10,180,8000000,128984,4.0734679247764385,3.5150561211907876,3.520863017849971,0.9983507178127227,15.89495209964411
10,180,16000000,235115,4.043464240366683,3.5150647621217117,3.520863017849971,0.9983531720209324,16.588099280204055
10,180,32000000,430731,4.019816968547504,3.5178659235205902,3.520863017849971,0.9991487614501938,17.281246460764002
10,180,50000000,637058,4.004106333030589,3.5179941233903325,3.520863017849971,0.9991851729405279,17.72753356339242
11,198,1000000,18235,3.480484033604649,2.920119434530071,2.9340525148749763,0.9952512505232038,13.815510557964274
11,198,2000000,32729,3.4447460589249106,2.920777428229362,2.9340525148749763,0.995475511573732,14.508657738524219
11,198,4000000,59147,3.4171421103442223,2.9244388263318695,2.9340525148749763,0.9967234095182798,15.201804919084164
11,198,8000000,107605,3.398293711201146,2.9324382397873743,2.9340525148749763,0.9994498138395894,15.89495209964411
11,198,16000000,196389,3.377461662171161,2.9360953302355055,2.9340525148749763,1.0006962436255564,16.588099280204055
11,198,32000000,359533,3.355358342336144,2.9363776674563202,2.9340525148749763,1.000792471358149,17.281246460764002
11,198,50000000,531817,3.3426341364731758,2.9368269148477477,2.9340525148749763,1.0009455863379084,17.72753356339242
12,216,1000000,16434,3.1367301677136714,2.631710599784326,2.6406472633874785,0.9966157298905238,13.815510557964274
12,216,2000000,29502,3.1051024544105448,2.632795859562548,2.6406472633874785,0.9970267123770031,14.508657738524219
12,216,4000000,53272,3.077721515922319,2.633957853422005,2.6406472633874785,0.9974667536788341,15.201804919084164
12,216,8000000,96808,3.0573116267270164,2.6381997222929803,2.6406472633874785,0.9990731283468136,15.89495209964411
12,216,16000000,176531,3.035947454718631,2.639210163205699,2.6406472633874785,0.9994557773006244,16.588099280204055
12,216,32000000,323258,3.016820227981569,2.6401125126945097,2.6406472633874785,0.9997974925691958,17.281246460764002
12,216,50000000,478463,3.007287764098111,2.6421927395303233,2.6406472633874785,1.0005852641374229,17.72753356339242
13,234,1000000,17796,3.396692835866648,2.8498187801972663,2.8807061055136125,0.9892778630707143,13.815510557964274
13,234,2000000,32086,3.3770699394012857,2.863395293536842,2.8807061055136125,0.9939907747119229,14.508657738524219
13,234,4000000,57987,3.3501245972328335,2.867084285297752,2.8807061055136125,0.9952713606605725,15.201804919084164
13,234,8000000,105506,3.332004798048308,2.8752365496678287,2.8807061055136125,0.9981013141759532,15.89495209964411
13,234,16000000,192272,3.3066582584002844,2.874544507762864,2.8807061055136125,0.9978610807471976,16.588099280204055
13,234,32000000,352519,3.289899863105738,2.8790929315362837,2.8807061055136125,0.9994400074432302,17.281246460764002
