X,total,count_dr2,count_dr5,count_dr8,frac_dr2,frac_dr5,frac_dr8,delta_dr2_pp,delta_dr5_pp,delta_dr8_pp,non_admissible
10000,204,64,75,65,0.3137254901960784,0.36764705882352944,0.31862745098039214,-1.9607843137254888,3.4313725490196125,-1.470588235294118,0
20000,341,110,121,110,0.3225806451612903,0.3548387096774194,0.3225806451612903,-1.0752688172043001,2.1505376344086056,-1.0752688172043001,0
40000,590,189,209,192,0.32033898305084746,0.35423728813559324,0.3254237288135593,-1.2994350282485856,2.0903954802259928,-0.7909604519774016,0
80000,1006,329,346,331,0.32703777335984097,0.34393638170974156,0.3290258449304175,-0.6295559973492348,1.0603048376408242,-0.4307488402915838,0
160000,1800,591,603,606,0.3283333333333333,0.335,0.33666666666666667,-0.5000000000000004,0.16666666666667052,0.3333333333333355,0
320000,3169,1035,1097,1037,0.32660145156200693,0.3461659829599243,0.3272325654780688,-0.6731881771326387,1.2832649626590975,-0.6100767855264533,0
640000,5630,1820,1935,1875,0.32326820603907636,0.34369449378330375,0.3330373001776199,-1.006512729425696,1.036116044997043,-0.02960331557134155,0
1280000,10123,3340,3411,3372,0.32994171688234714,0.3369554479897264,0.3331028351279265,-0.3391616450986179,0.36221146563930606,-0.02304982054068261,0
2560000,18282,6077,6107,6098,0.3324034569521934,0.3340444152718521,0.3335521277759545,-0.09298763811398936,0.0711081938518765,0.021879444262118408,0
5120000,33070,11056,11044,10970,0.33432113698215904,0.3339582703356517,0.3317205926821893,0.09878036488257247,0.06249370023183598,-0.1612740651144029,0
10240000,60233,20091,20105,20037,0.33355469593080206,0.3337871266581442,0.33265817741105375,0.022136259746874387,0.04537933248108805,-0.06751559222795689,0
20480000,109673,36551,36624,36498,0.33327254657025884,0.3339381616259243,0.3327892918038168,-0.006078676307447184,0.06048282925910087,-0.054404152951653684,0
40960000,200888,66850,67122,66916,0.3327724901437617,0.3341264784357453,0.333101031420493,-0.05608431895716137,0.07931451024119629,-0.023230191284029367,0
81920000,369116,122881,123325,122910,0.3329061866730242,0.33410906056632605,0.33298475276064976,-0.04271466603091301,0.077572723299274,-0.03485805726835545,0
163840000,681452,226914,227660,226878,0.3329860357002401,0.3340807569718777,0.33293320732788223,-0.034729763309321315,0.07474236385444089,-0.04001260054510847,0
327680000,1262181,420571,421420,420190,0.3332097377475972,0.33388238295458417,0.3329078792978186,-0.012359558573610263,0.05490496212508522,-0.04254540355146941,0
655360000,2344346,781123,782248,780975,0.33319441754758045,0.3336742955178118,0.33313128693460775,-0.01389157857528689,0.034096218447848825,-0.020204639872556385,0
1000000000,3424505,1140981,1142274,1141250,0.333181291894741,0.33355886471183427,0.33325984339342474,-0.015204143859232078,0.022553137850095384,-0.007348993990857755,0
